0.9 0.2 0.8 0.1
15 15
1
13 13
3 2
0 0 E
2 0 N
3 0 N
5 0 E
7 0 N
8 0 N
2 1 E
5 1 E
7 1 W
1 2 N
1 2 W
2 2 N
3 2 N
4 2 N
6 2 N
7 2 N
8 2 N
4 3 N
8 3 E
0 4 N
1 4 N
1 4 W
2 4 N
4 4 N
5 4 N
5 4 E 
6 4 N
7 4 N
8 4 N
8 4 E
5 5 E
8 5 E
0 6 E
5 6 E
6 6 E
7 6 N
8 6 E
0 7 E
1 7 E
2 7 S
3 7 E
3 7 W
4 7 S
5 7 N
6 7 N
8 7 N
0 8 E
3 8 E
5 8 E
8 8 W
3 9 E
3 9 W
8 9 W
10 0 E
12 0 N
13 0 N
12 1 E
11 2 N
11 2 W
13 2 N
14 2 N
12 3 E
13 3 N
14 3 N
10 4 N
11 4 N
11 4 W
12 4 N
14 4 N
10 6 E
10 7 E
11 7 E
12 7 S
13 7 E
13 7 W
14 7 S
10 8 E
13 8 W
13 8 E
13 9 E
13 9 W
0 10 E
2 10 N
3 10 N
5 10 E
7 10 N
5 11 E
7 11 W
1 12 N
1 12 W
2 12 N
3 12 N
4 12 N
6 12 N
7 12 N
8 12 N
8 12 W
8 12 S
2 13 E
3 13 N
4 13 N
1 14 N
1 14 W
2 14 N
4 14 N
5 14 N
5 14 E 
7 14 N
8 14 N
8 14 E
9 14 N
10 10 E
12 10 N
13 10 N
11 12 N
12 12 N
11 14 W
12 14 N
9 7 N
10 7 N
10 12 W
10 13 W
10 14 W
9 6 N
9 6 E
9 10 N
16 16 N
